,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
0,0,159.1,0.0,318.2,2,1,0,101.0,101.0,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
1,1,0.0,2689.97,8069.9,0,3,1,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,-1,-1
2,1,1830.5,11879.68,138932.33,11,10,0,1.9,0.508352,0.461655,5.078202714,0.005313,0.0,0.0,0.0,0.0,0.0,-1,-1
3,0,160.21,0.3,321.02,2,2,0,85.65000500000002,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
4,0,57235.11,0.0,114470.22,2,1,0,7.747421000000001,7.747421000000001,3.87327,7.74653939,0.000882,0.0,0.0,0.0,0.0,0.0,4,3
5,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1
6,0,0.0,2289.76,228976.47,0,100,1,4.846,0.95769,0.0,0.0,95.76903228,1.946535743,0.0,0.0,0.0,2.0,185,119
7,1,123917.02,196.98,252758.42,2,25,0,5.0,0.8129109999999999,10.16053,20.32105947,0.0017219999999999,1.337,0.0,0.0,0.0,4.0,1,194
8,0,3098.05,4755.44,382590.08,36,57,0,1.02121,0.417608,0.660712,23.78562273,0.01800865,225.5416981,0.0,0.0,0.0,3.0,185,416
9,0,7.08,154925.97,774665.27,5,5,0,1.061977,0.45558,0.4552020000000001,2.27600831,0.00189357,0.0,0.0,0.0,0.0,0.0,4,3
10,0,505.4,1809.38,253532.9,294,58,0,8.497511,1.746478,0.372891,109.6299322,-8.334208181000001,433458.4481,409949.1416,0.0,25.0,23.0,291,445
11,0,0.0,5175.88,414594.87,1,80,0,0.199288,0.048307,0.01,0.01,3.85458835,469.6441772,0.0,0.0,0.0,10.0,185,257
12,0,2.86,45412.54,499569.4,11,11,0,149.5,44.37272700000001,44.372299,488.095286,0.004714025,0.0,0.0,0.0,0.0,0.0,4,3
13,0,5.98,0.0,17.93,3,2,0,1126.081753,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0,4,3
14,0,36870.46,8222.5,418039.63,10,6,0,5.4569,2.80692,1.682518,16.8251786,0.01633994,1680.346229,1679.346,0.0,1.0,4.0,211,337
15,1,0.0,2860.03,216675.57,1,2,0,1.0,0.75,1.499139,1.499139,0.0008609999999999,1.337,0.0,0.0,0.0,1.0,1,74
16,0,4908.1,3785.8,235723.43,38,13,0,65.214606,9.382453,3.208928,121.9392761,0.0326156129999999,25697.77969,16204.50685,0.0,7.0,6.0,123,154
17,1,6344.3,571.8,302538.55,43,52,0,236.061489,20.8864,25.257029,1086.0522640000004,0.040546605,2308537.306,2298607.082,0.0,7.0,44.0,203,309
18,0,22.18,0.0,66.53,3,1,0,101.0,101.0,33.666149,100.998446,0.0015539999999999,0.0,0.0,0.0,0.0,0.0,4,3
19,0,0.0,13339.9,226778.27,0,17,1,11.291416,4.860215,0.0,0.0,82.62366163,4.804121022,0.0,0.0,0.0,3.0,185,119
20,0,159.14,0.36,319.0,2,2,0,55.758439,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
21,0,60.9,12401.59,610540.5,47,49,0,5.087868,1.6595529999999998,1.729753,81.29837521,0.01974,0.0,0.0,0.0,0.0,0.0,4,3
22,1,937.54,397.7,25681.07,10,41,0,20.647811,2.025648,8.304727,83.04727276,0.00428318,10000.0,10000.0,0.0,1.0,1.0,43,70
23,0,0.0,10511.12,105111.2,0,10,1,12.829449,5.072051,0.0,0.0,50.72051414,5.868615823,0.0,0.0,0.0,2.0,185,47
24,0,2.58,0.0,10.32,4,2,0,1058.288728,1000.5,500.249528,2000.998113,0.001886545,0.0,0.0,0.0,0.0,0.0,4,3
25,0,82.2,0.02,328.82,4,2,0,74.71401999999998,50.5,25.249487,100.9979476,0.002052437,0.0,0.0,0.0,0.0,0.0,4,3
26,0,0.0,0.0,39.15,1,1,0,1.409452,1.409452,1.408948,1.40894829,0.000504,0.0,0.0,0.0,0.0,0.0,4,3
27,1,0.0,542.56,330734.38,1,4,0,1.190033,0.699032,2.795268,2.79526827,0.0008609999999999,100.337,0.0,0.0,0.0,2.0,1,74
28,1,0.0,4550.37,36288.35,1,3,0,1.067,0.432333,1.296139,1.296139,0.0008609999999999,0.0,0.0,0.0,0.0,0.0,-1,-1
29,1,0.0,1829.47,21252.58,1,2,0,1.1,0.6,1.199622,1.199622,0.000378,0.0,0.0,0.0,0.0,0.0,-1,-1
30,1,0.0,33.19,929.3,0,28,1,3.3125,0.243823,0.0,0.0,6.827057000000001,0.0,0.0,0.0,0.0,0.0,-1,-1
31,0,1.88,0.35,6.35,3,2,0,1863.49734,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0,4,3
32,0,6.4,3682.74,18445.72,5,5,0,0.658179,0.349036,0.348227,1.7411335419999998,0.004045778,0.0,0.0,0.0,0.0,0.0,4,3
33,0,160.4,0.84,322.48,2,2,0,72.164416,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0,4,3
34,0,0.0,6436.01,585677.32,0,91,1,10.14,0.304631,0.0,0.0,27.72145346,5.854699717999999,0.0,0.0,0.0,5.0,185,22
35,0,12314.36,62884.88,764306.7,11,10,0,7.2831899999999985,1.914349,1.7399,19.1389034,0.004588033,0.0,0.0,0.0,0.0,0.0,4,3
36,0,0.0,1679.86,226780.82,0,135,1,1.057454,0.423821,0.0,0.0,57.21584368,0.8342517970000001,0.0,0.0,0.0,2.0,185,309
37,0,0.0,0.0,170.7,1,1,0,0.340895,0.340895,0.338695,0.33869467,0.0022,0.0,0.0,0.0,0.0,0.0,4,3
38,1,616.36,321.53,10423.6,7,19,0,1.5,0.686932,2.673221,18.71254908,-5.660834,8.220067312000001,6.0,0.0,1.0,2.0,275,257
39,0,0.0,0.0,5.1,1,1,0,0.162955,0.162955,0.161876,0.161876178,0.001078522,0.0,0.0,0.0,0.0,0.0,4,3
40,0,31438.5,4555.61,274286.03,8,5,0,3.37645,2.253833,1.407815,11.26252129,0.006643594,1065.98953,622.9539973,0.0,2.0,7.0,123,436
41,0,3.12,14177.93,99267.38,7,7,0,117.333661,76.553936,76.553516,535.8746142,0.00294,0.0,0.0,0.0,0.0,0.0,4,3
