,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
0,Fraud,0.0,34682.01,173410.03,0,5,1,0.0,0.0,0.0,0.0,0.0,1e-12,0.0,0.0,0.0,1.0,-1,-1
1,Non - Fraud,202252.36,13562.51,485879.8,2,6,0,5.882285,2.358151,7.073171,14.14634161,0.002561992,1092.7032880000004,0.0,0.0,0.0,10.0,185,257
2,Non - Fraud,20807.97,23567.05,355000.13,8,8,0,15.252378,5.730538,5.730074,45.84059336,0.003713634,0.0,0.0,0.0,0.0,0.0,4,3
3,Non - Fraud,80.96,155838.28,468324.43,10,3,0,2.14815,0.7628229999999999,0.450816,4.50815974,-2.21968974,0.0,0.0,0.0,0.0,0.0,4,3
4,Fraud,0.0,1060.76,7936.62,1,7,0,1.493095,0.8028569999999999,5.61914,5.61914008,0.0008609999999999,13.37,0.0,0.0,0.0,1.0,1,74
5,Fraud,0.0,135.21,4724.03,1,11,0,1.482642,0.533525,5.867916999999999,5.867917227,0.0008609999999999,1.337,0.0,0.0,0.0,1.0,1,74
6,Fraud,2499.44,2189.29,261601.88,67,43,0,21.31,1.234192,0.922179,61.78599493,-8.715743362000001,1503.469504,0.0,0.0,0.0,5.0,1,185
7,Non - Fraud,3.76,0.0,11.28,3,2,0,1082.105117,1000.5,666.9993900000002,2000.998169,0.001830667,0.0,0.0,0.0,0.0,0.0,4,3
8,Fraud,0.0,329.72,5605.28,0,17,0,1.7777599999999998,0.551126,0.0,0.0,9.36914028,1e-12,0.0,0.0,0.0,1.0,-1,-1
9,Fraud,0.0,1167.9,29197.45,0,25,1,20.0,1.545733,0.0,0.0,38.64333073,1e-12,0.0,0.0,0.0,1.0,-1,-1
10,Non - Fraud,1060.09,115459.87,371911.35,133,2,0,2.998751,1.499376,0.044225,5.8819220360000015,-2.883170746,458.13996,0.0,0.0,0.0,7.0,185,257
11,Non - Fraud,3.71,363.42,734.25,2,2,0,399.39,199.939671,199.939251,399.8785024,0.00084,0.0,0.0,0.0,0.0,0.0,4,3
12,Non - Fraud,0.0,14721.7,88330.2,0,6,1,5.1143,2.22633,0.0,0.0,13.357978,0.0,0.0,0.0,0.0,0.0,4,3
