,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name
0,Non - Fraud,0.0,2940.51,217597.67,0,74,1,0.723467,0.374223,0.0,0.0,27.69248666,1.95328537,0.0,0.0,0.0,3.0
1,Non - Fraud,87.22,528.57,1107516.63,729,1975,0,29.85452,2.23795,6.062568,4419.611924,0.338499,560.4526357000002,0.0,0.0,0.0,3.0
2,Non - Fraud,0.0,0.0,26.6,1,1,0,3.788,3.788,3.78738,3.78738,0.00062,0.0,0.0,0.0,0.0,0.0
3,Non - Fraud,9.64,26320.65,105321.17,4,4,0,12.886041,6.978041999999999,6.977214999999998,27.90885945,0.003307644,0.0,0.0,0.0,0.0,0.0
4,Non - Fraud,3.57,66187.11,330949.83,4,5,0,5.999537999999999,2.763317,3.4504050000000004,13.80161865,0.014964848,0.0,0.0,0.0,0.0,0.0
5,Non - Fraud,2.86,29123.29,58252.3,2,2,0,1.899627,1.574814,1.574282,3.148563909,0.001063501,0.0,0.0,0.0,0.0,0.0
6,Non - Fraud,441.59,2653.46,521138.28,411,128,0,377.0,24.704295,7.692353,3161.556986,0.5927768379999999,295853.6422,263229.4858,0.0,59.0,13.0
7,Non - Fraud,162.63,0.43,326.13,2,2,0,78.025164,50.5,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
8,Non - Fraud,0.0,0.0,14058.25,0,1,1,0.267246,0.267246,0.0,0.0,0.267246433,0.0,0.0,0.0,0.0,0.0
9,Non - Fraud,0.0,7426.41,319335.67,0,43,1,17.146148,1.090165,0.0,0.0,46.87710441,3.183942657,0.0,0.0,0.0,3.0
10,Non - Fraud,119077.75,52788.43,885117.53,3,10,0,76.99937,8.658083999999999,28.846405,86.53921597,0.041622947,3691.13013,0.0,0.0,0.0,14.0
11,Fraud,13073.97,9951.52,59124.93,3,2,0,0.699647,0.352324,0.233965,0.70189601,0.002751,1.337,0.0,0.0,0.0,1.0
12,Fraud,7.02,335.01,29514.53,148,85,0,17.2,1.486016,0.850223,125.8329699,0.478351338,2459664.8340000003,2459414.8340000003,0.0,2.0,100.0
13,Non - Fraud,56814.86,62086.18,294616.95,3,2,0,20.0,10.0,13.301956,39.90586873,-19.90586873,3.615281187,0.0,0.0,0.0,2.0
14,Non - Fraud,2.33,3002.22,27040.88,9,9,0,74.49391,16.787681,16.786699,151.0802952,0.008833637,0.0,0.0,0.0,0.0,0.0
15,Non - Fraud,0.0,25194.76,226752.87,0,9,1,10.0,3.166568,0.0,0.0,28.49911075,1.468335301,0.0,0.0,0.0,2.0
16,Non - Fraud,0.0,0.0,14.28,1,1,0,4.020663,4.020663,4.005662999999998,4.0056626,0.015,0.0,0.0,0.0,0.0,0.0
17,Fraud,141058.82,6431.22,346429.78,2,10,0,10.0,1.934,9.669255,19.338509,0.001491,1044.36397,0.0,0.0,0.0,4.0
18,Fraud,0.0,500.43,51700.85,1,11,0,2.872788,0.5530079999999999,6.08,6.08,0.00308935,0.0,0.0,0.0,0.0,0.0
19,Non - Fraud,160.45,3439.84,1033276.68,94,296,0,1.130113,0.258793,0.8096760000000001,76.10951743,0.49330321,469.058773,0.0,0.0,0.0,5.0
20,Non - Fraud,0.0,0.0,0.0,0,1,0,3.77,3.77,0.0,0.0,3.77,533.3204862,0.0,0.0,0.0,7.0
21,Non - Fraud,1.72,8.2,74495.67,1163,8837,0,999.989578,1.317106,10.0,11630.0,9.26831094,15675898.62,0.0,0.0,0.0,32.0
22,Non - Fraud,97.93,12.38,448110.42,3791,6209,0,12000.0,15.430985,25.030853,94891.96561,919.0207186,6346594.629,81384.99211,0.0,13.0,73.0
23,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.337,0.0,0.0,0.0,1.0
24,Fraud,0.0,2697.0,42651.28,1,2,0,0.9,0.45,0.899034,0.899034,0.000966,1.337,0.0,0.0,0.0,1.0
25,Non - Fraud,12592.37,5087.93,100993.85,6,5,0,0.25208,0.170254,0.141364,0.84818222,0.003087,0.0,0.0,0.0,0.0,0.0
26,Non - Fraud,992.54,1766.0,684983.8,135,312,0,1.416181,0.107207,0.247114,33.36035419,0.0881076609999999,371.0782281000001,0.0,0.0,0.0,5.0
27,Non - Fraud,4.01,17845.25,214191.1,12,12,0,0.273383,0.0605429999999999,0.06009,0.721078105,0.0054359519999999,0.0,0.0,0.0,0.0,0.0
28,Non - Fraud,0.0,0.0,1.0,1,1,0,0.999528,0.999528,0.998688,0.99868837,0.00084,0.0,0.0,0.0,0.0,0.0
29,Non - Fraud,7.1,0.0,21.3,3,2,0,1497.81043,1000.5,666.999528,2000.998585,0.001414909,0.0,0.0,0.0,0.0,0.0
30,Non - Fraud,0.0,1516.6,229007.07,0,151,1,40.0,0.772393,0.0,0.0,116.6313678,1.08714116,0.0,0.0,0.0,2.0
31,Non - Fraud,40686.65,24242.29,649289.5,10,10,0,23.456261,7.727419,7.7269619999999986,77.26961629,0.004577207,0.0,0.0,0.0,0.0,0.0
32,Non - Fraud,0.0,2467.04,9868.17,0,4,1,0.99,0.53,0.0,0.0,2.12,0.0,0.0,0.0,0.0,0.0
33,Non - Fraud,27655.38,24111.48,310601.17,6,6,0,10.15,6.003078,6.0028190000000015,36.0169149,0.0015539999999999,22.148000000000003,0.0,0.0,0.0,1.0
34,Non - Fraud,162.48,0.29,325.83,2,3,0,91.769851,33.666667,50.499508,100.9990158,0.000984218,0.0,0.0,0.0,0.0,0.0
35,Fraud,0.0,0.0,1330.48,1,1,0,0.647108,0.647108,0.646247,0.6462472,0.0008609999999999,13.37,0.0,0.0,0.0,1.0
36,Fraud,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Non - Fraud,5173.8,4691.58,930590.25,91,98,0,385.502246,73.8723,79.553928,7239.407486,0.077963,761672.0,761672.0,0.0,1.0,5.0
